callsign,mmsi,position,heading,sog,cog,rot,length,width,draught,eta,theme,shiptype,imo,timestamp,destination,id,radarid,referenceid,name,navstatus,bow,stern,port,starboard
null,235047310,"(53.3571666666667,7.19978333333333)",25,102.300003051758,360,0,-1,-1,-1,1970-01-01 01:00:00+01,AIS,DryCargo,0,2017-02-10 14:21:51+01,"",132841149,,,,,,,,
null,211143784,"(53.70883,7.81089833333333)",113,0.800000011920929,98.3,-7560,-1,-1,-1,1970-01-01 01:00:00+01,AIS,DryCargo,0,2017-02-10 14:21:51+01,"",132841150,,,,,,,,
null,211143784,"(53.70883,7.81089833333333)",113,0.800000011920929,98.3,-7560,-1,-1,-1,1970-01-01 01:00:00+01,AIS,DryCargo,0,2017-02-10 14:21:51+01,"",132841151,,,,,,,,
null,211113790,"(53.8643333333333,7.86616666666667)",12,2.5,290,1800,-1,-1,-1,1970-01-01 01:00:00+01,AIS,DryCargo,0,2017-02-10 14:21:51+01,"",132841152,,,,,,,,
null,211113790,"(53.8643333333333,7.86616666666667)",12,2.5,290,1800,-1,-1,-1,1970-01-01 01:00:00+01,AIS,DryCargo,0,2017-02-10 14:21:51+01,"",132841153,,,,,,,,
null,305695464,"(53.9830916666667,7.66251333333333)",300,9.80000019073486,304.9,-7560,-1,-1,-1,1970-01-01 01:00:00+01,AIS,DryCargo,0,2017-02-10 14:21:51+01,"",132841154,,,,,,,,
null,305695464,"(53.9830916666667,7.66251333333333)",300,9.80000019073486,304.9,-7560,-1,-1,-1,1970-01-01 01:00:00+01,AIS,DryCargo,0,2017-02-10 14:21:51+01,"",132841155,,,,,,,,
null,257711000,"(53.576,8.55683333333333)",243,0,90,0,-1,-1,-1,1970-01-01 01:00:00+01,AIS,DryCargo,0,2017-02-10 14:21:51+01,"",132841156,,,,,,,,
null,257711000,"(53.576,8.55683333333333)",243,0,90,0,-1,-1,-1,1970-01-01 01:00:00+01,AIS,DryCargo,0,2017-02-10 14:21:51+01,"",132841157,,,,,,,,
null,229801000,"(53.57194,8.55236166666667)",110,0,90,0,-1,-1,-1,1970-01-01 01:00:00+01,AIS,DryCargo,0,2017-02-10 14:21:51+01,"",132841158,,,,,,,,
null,305088000,"(53.9556966666667,8.610875)",113,7.90000009536743,114.1,-480,-1,-1,-1,1970-01-01 01:00:00+01,AIS,DryCargo,0,2017-02-10 14:21:51+01,"",132841159,,,,,,,,
null,305565464,"(53.5704216666667,8.54295666666667)",151,0,90,0,-1,-1,-1,1970-01-01 01:00:00+01,AIS,DryCargo,0,2017-02-10 14:21:51+01,"",132841160,,,,,,,,
null,305565464,"(53.5704216666667,8.54295666666667)",151,0,90,0,-1,-1,-1,1970-01-01 01:00:00+01,AIS,DryCargo,0,2017-02-10 14:21:51+01,"",132841161,,,,,,,,
null,211507280,"(53.546,8.56725)",331,0,90,0,-1,-1,-1,1970-01-01 01:00:00+01,AIS,DryCargo,0,2017-02-10 14:21:51+01,"",132841162,,,,,,,,
null,211507280,"(53.546,8.56725)",331,0,90,0,-1,-1,-1,1970-01-01 01:00:00+01,AIS,DryCargo,0,2017-02-10 14:21:51+01,"",132841163,,,,,,,,
null,211206774,"(53.62383,7.15782833333333)",189,0,90,0,-1,-1,-1,1970-01-01 01:00:00+01,AIS,DryCargo,0,2017-02-10 14:21:51+01,"",132841164,,,,,,,,
null,0,"(0,0)",0,-1,-1,-1,-1,-1,-1,1970-01-01 01:00:00+01,AIS,DryCargo,0,2017-02-10 14:21:51+01,"",132841165,,,,,,,,
null,245586000,"(53.57211,8.5493)",94,0,90,0,-1,-1,-1,1970-01-01 01:00:00+01,AIS,DryCargo,0,2017-02-10 14:21:51+01,"",132841166,,,,,,,,
null,245586000,"(53.57211,8.5493)",94,0,90,0,-1,-1,-1,1970-01-01 01:00:00+01,AIS,DryCargo,0,2017-02-10 14:21:51+01,"",132841167,,,,,,,,
null,305287000,"(53.9816566666667,7.60188)",148,12,154,-660,-1,-1,-1,1970-01-01 01:00:00+01,AIS,DryCargo,0,2017-02-10 14:21:51+01,"",132841168,,,,,,,,
null,305287000,"(53.9816566666667,7.60188)",148,12,154,-660,-1,-1,-1,1970-01-01 01:00:00+01,AIS,DryCargo,0,2017-02-10 14:21:51+01,"",132841169,,,,,,,,
null,218393000,"(53.5571183333333,8.16794833333333)",164,0,90,0,-1,-1,-1,1970-01-01 01:00:00+01,AIS,DryCargo,0,2017-02-10 14:21:51+01,"",132841170,,,,,,,,
null,218393000,"(53.5571183333333,8.16794833333333)",164,0,90,0,-1,-1,-1,1970-01-01 01:00:00+01,AIS,DryCargo,0,2017-02-10 14:21:51+01,"",132841171,,,,,,,,
null,211472154,"(53.53642,8.57747666666667)",232,0,90,0,-1,-1,-1,1970-01-01 01:00:00+01,AIS,DryCargo,0,2017-02-10 14:21:51+01,"",132841172,,,,,,,,
null,211472154,"(53.53642,8.57747666666667)",232,0,90,0,-1,-1,-1,1970-01-01 01:00:00+01,AIS,DryCargo,0,2017-02-10 14:21:51+01,"",132841173,,,,,,,,
null,229976000,"(53.5577283333333,8.560925)",351,0,90,0,-1,-1,-1,1970-01-01 01:00:00+01,AIS,DryCargo,0,2017-02-10 14:21:51+01,"",132841174,,,,,,,,
null,229976000,"(53.5577283333333,8.560925)",351,0,90,0,-1,-1,-1,1970-01-01 01:00:00+01,AIS,DryCargo,0,2017-02-10 14:21:51+01,"",132841175,,,,,,,,
null,211232950,"(53.624105,7.161505)",69,0,90,0,-1,-1,-1,1970-01-01 01:00:00+01,AIS,DryCargo,0,2017-02-10 14:21:51+01,"",132841176,,,,,,,,
null,211205304,"(53.7254483333333,7.49571833333333)",296,0,90,0,-1,-1,-1,1970-01-01 01:00:00+01,AIS,DryCargo,0,2017-02-10 14:21:52+01,"",132841177,,,,,,,,
null,211205304,"(53.7254483333333,7.49571833333333)",296,0,90,0,-1,-1,-1,1970-01-01 01:00:00+01,AIS,DryCargo,0,2017-02-10 14:21:52+01,"",132841178,,,,,,,,
null,211212704,"(53.6024016666667,8.14848833333333)",166,0,90,0,-1,-1,-1,1970-01-01 01:00:00+01,AIS,DryCargo,0,2017-02-10 14:21:52+01,"",132841179,,,,,,,,
null,211212704,"(53.6024016666667,8.14848833333333)",166,0,90,0,-1,-1,-1,1970-01-01 01:00:00+01,AIS,DryCargo,0,2017-02-10 14:21:52+01,"",132841180,,,,,,,,
null,211690000,"(53.5576016666667,8.55248333333333)",335,8.80000019073486,333.7,-1320,-1,-1,-1,1970-01-01 01:00:00+01,AIS,DryCargo,0,2017-02-10 14:21:52+01,"",132841181,,,,,,,,
null,211218294,"(53.7654216666667,7.69604833333333)",1,0,90,0,-1,-1,-1,1970-01-01 01:00:00+01,AIS,DryCargo,0,2017-02-10 14:21:52+01,"",132841182,,,,,,,,
null,211218294,"(53.7654216666667,7.69604833333333)",1,0,90,0,-1,-1,-1,1970-01-01 01:00:00+01,AIS,DryCargo,0,2017-02-10 14:21:52+01,"",132841183,,,,,,,,
